Sample for t = 0.0
parameter = [0.03461789927794996] likelihood = -5070138585.416403
parameter = [0.041680575716306616] likelihood = -3497468651.509759
parameter = [0.06850863165156217] likelihood = -1294585250.279867
parameter = [0.14775875514025094] likelihood = -278301002.7121468
parameter = [0.332901572738839] likelihood = -54826374.35656557
parameter = [0.24417418233177268] likelihood = -101911154.38305214
parameter = [0.2884628549282357] likelihood = -73019930.32719755
parameter = [0.29545845968419115] likelihood = -69603062.9577331
parameter = [0.29587890366657993] likelihood = -69405391.58350663
parameter = [0.40909522154390826] likelihood = -36305502.24670429
parameter = [0.5084956880676446] likelihood = -23498861.083794177
parameter = [0.09683963590128034] likelihood = -647910378.596884
parameter = [0.054249435868136124] likelihood = -2064575610.3171027
parameter = [0.05433067646963512] likelihood = -2058405911.0992107
parameter = [0.04746671554084433] likelihood = -2696763637.5078697
parameter = [0.051521296709473835] likelihood = -2289009926.6249385
parameter = [0.07417530580345477] likelihood = -1104339353.2230954
parameter = [0.06358571475334404] likelihood = -1502803257.2597673
parameter = [0.0778141985854699] likelihood = -1003468029.5369694
parameter = [0.07307148594453866] likelihood = -1137955716.3214874
parameter = [0.09407365771167973] likelihood = -686570553.3210124
parameter = [0.08931278391630224] likelihood = -761717584.3554485
parameter = [0.11100195975024882] likelihood = -493128309.93453085
parameter = [0.21462976118919158] likelihood = -131898944.95566964
parameter = [0.28943390695892673] likelihood = -72530787.89730407
parameter = [0.32055186354663706] likelihood = -59132277.28719573
parameter = [0.2528906724251018] likelihood = -95006995.23157422
parameter = [0.10380452916298735] likelihood = -563882510.5426117
parameter = [0.1781684939283242] likelihood = -191407695.14733663
parameter = [0.25167127632100783] likelihood = -95929880.20264003
parameter = [0.16970914121596156] likelihood = -210965161.07960767
parameter = [0.2569304149782975] likelihood = -92042873.5741724
parameter = [0.27742611109445414] likelihood = -78945347.23318678
parameter = [0.07781465890657502] likelihood = -1003456157.3225287
parameter = [0.05603964583073606] likelihood = -1934775062.15187
parameter = [0.1555495872222058] likelihood = -251121264.95296133
parameter = [0.37882889026652533] likelihood = -42338460.18836266
parameter = [0.19603117123303787] likelihood = -158114223.32875046
parameter = [0.21720338929056718] likelihood = -128791739.97934344
parameter = [0.292915031394306] likelihood = -70817059.91969912
parameter = [0.3686130209051502] likelihood = -44717744.73886217
parameter = [0.08455678548374683] likelihood = -849814833.553549
parameter = [0.13383359191027805] likelihood = -339227423.5083925
parameter = [0.14280528871660642] likelihood = -297942622.5752033
parameter = [0.06748889013024541] likelihood = -1334002579.087367
parameter = [0.08575090717976666] likelihood = -826311485.7127376
parameter = [0.20102619340108432] likelihood = -150354319.6621295
