Sample for t = 0.0
parameter = [0.3481856639681694] likelihood = -50118660.542166546
parameter = [0.18720774482668043] likelihood = -173369855.2607491
parameter = [0.13811229518198315] likelihood = -318534542.96746457
parameter = [0.11886998216416379] likelihood = -430008292.61593366
parameter = [0.3876711104444768] likelihood = -40429127.73722677
parameter = [0.21393918548237864] likelihood = -132751834.22732198
parameter = [0.5055219223385892] likelihood = -23776141.21296829
parameter = [0.36930983088668545] likelihood = -44549158.01158628
parameter = [0.17123039606816753] likelihood = -207233274.97976172
parameter = [0.09622250165151752] likelihood = -656247928.0699873
parameter = [0.19408427751176016] likelihood = -161302277.0886015
parameter = [0.10845239402971422] likelihood = -516586369.15624654
parameter = [0.2046902783007343] likelihood = -145019623.89348063
parameter = [0.2084787840355633] likelihood = -139796879.17319945
parameter = [0.08271887843502002] likelihood = -887997948.2048879
parameter = [0.10281093218193399] likelihood = -574834250.6008825
parameter = [0.08585103515621646] likelihood = -824385157.1287874
parameter = [0.1148379786409357] likelihood = -460733878.8986257
parameter = [0.20040182976528542] likelihood = -151292654.50993797
parameter = [0.5494827769779358] likelihood = -20123951.054039467
parameter = [0.41225063830819597] likelihood = -35751855.91771003
parameter = [0.0923636478286741] likelihood = -712228061.2638792
parameter = [0.20564335014819418] likelihood = -143678526.87386462
parameter = [0.07359745684512986] likelihood = -1121748828.1117654
parameter = [0.11789653403998114] likelihood = -437138593.70883375
parameter = [0.4271214148774095] likelihood = -33305701.373150535
parameter = [0.2053785372351342] likelihood = -144049280.8980731
parameter = [0.3139594279128006] likelihood = -61641636.02278131
parameter = [0.169044694274857] likelihood = -212626859.46581295
parameter = [0.09372136120879195] likelihood = -691741861.4158812
parameter = [0.26738841206411906] likelihood = -84983779.58329257
parameter = [0.1474043774806038] likelihood = -279640748.7281052
parameter = [0.09952204158372566] likelihood = -613454955.1000458
parameter = [0.06630539622039784] likelihood = -1382049164.094014
parameter = [0.05418304372931463] likelihood = -2069638285.3710015
parameter = [0.0593224356619469] likelihood = -1726566443.0998085
parameter = [0.13231561602739264] likelihood = -347055567.6842197
parameter = [0.07215606274031712] likelihood = -1167012707.4924269
parameter = [0.051900740501979986] likelihood = -2255662592.9404855
parameter = [0.31915134645024656] likelihood = -59652390.80142202
parameter = [0.24512129237248947] likelihood = -101125138.56794651
parameter = [0.1929146037488779] likelihood = -163264212.74494871
parameter = [0.3493971189794003] likelihood = -49771713.024652414
parameter = [0.11930243897454927] likelihood = -426896487.3183589
parameter = [0.12152772088479431] likelihood = -411405902.8879908
parameter = [0.10685472967147437] likelihood = -532149587.30536973
parameter = [0.0649025544450986] likelihood = -1442439683.4736557
parameter = [0.2680408689374889] likelihood = -84570553.31272385
parameter = [0.19926975653575263] likelihood = -153016557.68891987
parameter = [0.17013843189193487] likelihood = -209901896.03531414
parameter = [0.06971588483009201] likelihood = -1250137415.0527868
parameter = [0.04276564159010772] likelihood = -3322242001.893941
parameter = [0.04081039946556018] likelihood = -3648207713.3612027
parameter = [0.03193947917246588] likelihood = -5956149513.627776
parameter = [0.04412345310968582] likelihood = -3120917309.125207
parameter = [0.04558158311356779] likelihood = -2924438132.0969877
parameter = [0.04686109949505516] likelihood = -2766918065.777898
parameter = [0.06067704449943536] likelihood = -1650336124.2707195
parameter = [0.19177265147329675] likelihood = -165214387.00466764
parameter = [0.08698595619434038] likelihood = -803013694.8951316
parameter = [0.13596332078296158] likelihood = -328683342.36223745
parameter = [0.15828078265949516] likelihood = -242529648.5778698
parameter = [0.11624424071700219] likelihood = -449653871.0122582
parameter = [0.09525174785274255] likelihood = -669692331.2323022
parameter = [0.08851405075410532] likelihood = -775526786.1751313
parameter = [0.21430215012473933] likelihood = -132302530.11965674
parameter = [0.15959328764612318] likelihood = -238556894.53820333
parameter = [0.16831872617157131] likelihood = -214464958.05466568
parameter = [0.20065040348328025] likelihood = -150918031.9490535
parameter = [0.21913589385247825] likelihood = -126530191.91955806
parameter = [0.13399356461754452] likelihood = -338417910.94072354
parameter = [0.15545277425251022] likelihood = -251434149.26159492
parameter = [0.39043943162356576] likelihood = -39857853.44634655
parameter = [0.2212872705416103] likelihood = -124081873.37558396
parameter = [0.15332396304719736] likelihood = -258464644.68784285
parameter = [0.07697892585582852] likelihood = -1025362771.3229067
parameter = [0.12348309776954967] likelihood = -398479691.83920676
parameter = [0.35768436350106453] likelihood = -47492094.29759219
parameter = [0.4465080841822258] likelihood = -30476328.15433076
parameter = [0.13510859705487707] likelihood = -332855128.4680013
parameter = [0.06147807298791883] likelihood = -1607610191.7674584
parameter = [0.04021841991571393] likelihood = -3756394885.514118
parameter = [0.07267838246902787] likelihood = -1150298977.5817726
parameter = [0.1335277556852219] likelihood = -340783157.7805715
parameter = [0.14235264430854333] likelihood = -299840395.27335256
parameter = [0.4168166248928865] likelihood = -34972864.331120685
parameter = [0.217882642108387] likelihood = -127989970.82842854
parameter = [0.27059437793053304] likelihood = -82981956.15435624
parameter = [0.14595106259223958] likelihood = -285237549.1624613
parameter = [0.37140097838089886] likelihood = -44048908.51309475
parameter = [0.3556196653524101] likelihood = -48045165.369824775
parameter = [0.26053539359538685] likelihood = -89513336.47768782
parameter = [0.2753225457601531] likelihood = -80156298.51078734
parameter = [0.1376377159286175] likelihood = -320734964.7090254
parameter = [0.14970936183686634] likelihood = -271096118.49179626
parameter = [0.21344742798149988] likelihood = -133364227.76116052
parameter = [0.5101951437905601] likelihood = -23342572.917989075
parameter = [0.231464654013271] likelihood = -113410128.63581075
parameter = [0.21576056530319537] likelihood = -130519999.55806449
parameter = [0.37773457158813634] likelihood = -42584129.35622798
parameter = [0.35119547978295645] likelihood = -49263287.84682243
parameter = [0.27829611482136546] likelihood = -78452524.06772804
parameter = [0.5158647452473445] likelihood = -22832300.689148743
parameter = [0.2517522497450413] likelihood = -95868180.48326902
parameter = [0.15774112028364082] likelihood = -244191967.46346498
parameter = [0.20839056247387705] likelihood = -139915269.4665075
parameter = [0.18809459675076512] likelihood = -171738857.5616034
parameter = [0.2911097297906862] likelihood = -71698119.85085143
parameter = [0.06849083548623493] likelihood = -1295258089.1091356
parameter = [0.10925046993480299] likelihood = -509066597.1611731
parameter = [0.3096957986244286] likelihood = -63350578.676926464
parameter = [0.11347834003717358] likelihood = -471840569.0618501
parameter = [0.051427432469598265] likelihood = -2297373255.1218753
parameter = [0.030258497419022166] likelihood = -6636308021.085928
parameter = [0.007298718847826928] likelihood = -114058586653.19055
parameter = [0.013338084497397535] likelihood = -34153429965.528923
parameter = [0.00727771655596292] likelihood = -114717845146.47928
parameter = [0.009157175650938184] likelihood = -72459972555.5882
parameter = [0.01771619821148072] likelihood = -19358878428.10695
parameter = [0.027472911599888006] likelihood = -8050296469.1137295
parameter = [0.13057000430781368] likelihood = -356397284.06174433
parameter = [0.2910274618476309] likelihood = -71738660.97456345
parameter = [0.37333780222033197] likelihood = -43593055.10318938
parameter = [0.28945917998341836] likelihood = -72518122.9526545
parameter = [0.16552665552345722] likelihood = -221761082.87818867
parameter = [0.10930888074102664] likelihood = -508522688.0732788
parameter = [0.14983770981544176] likelihood = -270631886.38183093
parameter = [0.3020232523029458] likelihood = -66610156.1901028
parameter = [0.19658866581609058] likelihood = -157218720.6430126
parameter = [0.26944509684407625] likelihood = -83691362.14294928
parameter = [0.3356035933847392] likelihood = -53947089.30068173
parameter = [0.28248265786779897] likelihood = -76144339.96072733
parameter = [0.1543351761969503] likelihood = -255088789.19645935
parameter = [0.09676889275363812] likelihood = -648858037.9903266
parameter = [0.44902560389922774] likelihood = -30135547.42520561
parameter = [0.5184402635465898] likelihood = -22606010.799408663
parameter = [0.3537549220233437] likelihood = -48553019.882248305
parameter = [0.48124352638356804] likelihood = -26235631.9007071
parameter = [0.15655411918352194] likelihood = -247908956.83014843
parameter = [0.21366706810908884] likelihood = -133090183.83459872
parameter = [0.547825536824298] likelihood = -20245889.98954212
parameter = [0.1319735471662704] likelihood = -348857000.8419766
parameter = [0.08874414158603586] likelihood = -771510514.6989535
parameter = [0.14236171078772916] likelihood = -299802205.08530545
parameter = [0.22148164029766154] likelihood = -123864183.2672407
parameter = [0.15353434739410815] likelihood = -257756794.45084953
parameter = [0.08323870850054114] likelihood = -876941393.6256461
parameter = [0.08824057451116427] likelihood = -780341279.1144207
parameter = [0.17047333634603776] likelihood = -209077977.9616796
parameter = [0.11352474998720737] likelihood = -471454862.47348213
parameter = [0.26263351678377883] likelihood = -88088843.37979385
parameter = [0.2965504635274024] likelihood = -69091400.53055613
parameter = [0.2605417040201196] likelihood = -89509000.43234956
parameter = [0.30245158259027904] likelihood = -66421623.9167151
parameter = [0.39579007998970295] likelihood = -38787469.16838961
parameter = [0.4689262901418379] likelihood = -27631989.32496991
parameter = [0.38281579975174823] likelihood = -41461168.46057556
